Date,Item_Description,HS_Code,Country_of_Origin,Quantity,Net_Mass_kg,Gross_Mass_kg,CIF_Value_USD,CIF_Value_UGX,Unit_Price_Actual_UGX,Unit_Price_Predicted_UGX,Tax_Rate,Currency_Code,Valuation_Label
2023-11-13,Food Products,0403,South Africa,4033,6093,6148,252147.57,932946019.38,231328.05,256397.82,0.1,USD,
2024-04-23,Textiles,5408,USA,4551,5175,5444,56723.29,209876190.05,46116.5,54756.6,0.1,USD,
2024-03-28,Textiles,6110,South Korea,2404,5422,5496,140268.35,518992892.37,215887.23,214828.04,0.1,USD,
2023-07-13,Machinery,8430,China,608,8501,8739,349214.84,1292094905.32,2125156.09,1925864.91,0.2,USD,
2024-09-02,Machinery,8481,USA,4847,7505,7741,447233.61,1654764340.99,341399.7,285390.35,0.15,USD,
2023-04-29,Food Products,0403,China,4252,7867,8115,433063.28,1602334119.62,376842.46,374754.17,0.05,USD,
2022-08-20,Pharmaceuticals,2937,Germany,1690,3520,3849,316129.59,1169679487.55,692118.04,574380.36,0.05,USD,1.0
2022-06-03,Pharmaceuticals,2941,Germany,261,3026,3434,354417.52,1311344841.39,5024309.74,4168056.47,0.05,USD,1.0
2025-04-17,Pharmaceuticals,2937,USA,352,3906,4258,233280.52,863137931.99,2452096.4,2596813.5,0.05,USD,
2023-06-26,Machinery,8430,South Africa,566,6611,6681,462000.19,1709400692.14,3020142.57,3149827.06,0.2,USD,
2023-12-29,Electronics,8517,China,620,1528,1956,164069.53,607057252.27,979124.6,909323.47,0.1,USD,
2024-05-18,Machinery,8430,USA,2552,8548,8893,472444.34,1748044063.75,684970.24,623266.22,0.15,USD,
2024-04-27,Electronics,8523,Germany,411,6413,6559,303333.36,1122333435.26,2730738.29,2353798.95,0.1,USD,
2023-04-22,Textiles,5408,USA,4245,7184,7597,50810.35,187998289.08,44286.99,47486.17,0.1,USD,
2023-01-31,Textiles,5407,USA,1540,4462,4809,304608.17,1127050213.47,731850.79,785634.36,0.1,USD,
2024-04-10,Machinery,8479,Germany,4233,100,495,152849.87,565544508.5,133603.71,159798.79,0.15,USD,
2023-06-18,Electronics,8517,South Africa,68,3913,4040,354805.73,1312781188.12,19305605.71,15651730.01,0.15,USD,1.0
2025-03-04,Electronics,8517,Kenya,369,5168,5358,172920.39,639805451.61,1733890.11,1442232.58,0.15,USD,1.0
2022-09-01,Food Products,0702,USA,2613,5260,5478,89336.61,330545474.88,126500.37,147056.56,0.1,USD,
2022-08-28,Machinery,8430,India,990,5172,5629,236443.19,874839809.36,883676.58,814681.91,0.15,USD,
2023-10-26,Food Products,0702,USA,3687,3138,3362,385268.28,1425492635.11,386626.7,378924.15,0.1,USD,
2024-02-06,Food Products,0403,Germany,1521,536,808,220372.88,815379663.34,536081.3,462774.04,0.1,USD,
2022-09-06,Textiles,5407,South Africa,4646,7228,7559,287245.13,1062806979.04,228757.42,212987.27,0.05,USD,
2023-10-25,Textiles,6110,South Africa,426,4833,5088,404980.22,1498426813.79,3517433.84,3132617.03,0.1,USD,
2024-12-25,Machinery,8430,India,2440,3345,3626,464701.69,1719396250.04,704670.59,822370.63,0.2,USD,
2022-11-04,Pharmaceuticals,2941,Germany,4212,7206,7657,16452.68,60874916.28,14452.73,15641.21,0.05,USD,
2024-07-15,Electronics,8517,USA,1349,2357,2410,434645.79,1608189405.97,1192134.47,1391949.91,0.1,USD,
2022-12-01,Food Products,1701,USA,3557,9300,9416,430379.48,1592404079.16,447681.78,431500.19,0.05,USD,
2024-10-01,Electronics,8523,India,3136,8951,9167,109389.9,404742630.78,129063.34,144601.27,0.15,USD,
2024-12-03,Textiles,5407,South Korea,4649,6332,6484,352392.45,1303852056.95,280458.61,255722.45,0.1,USD,
2025-02-12,Pharmaceuticals,2937,Germany,1592,8279,8546,95406.77,353005053.57,221736.84,180372.64,0.05,USD,1.0
2022-07-08,Machinery,8481,India,1316,5690,6142,370079.92,1369295717.58,1040498.27,837036.68,0.2,USD,1.0
2023-03-28,Textiles,5407,Germany,2006,7733,7748,117756.55,435699217.1,217198.01,240416.61,0.05,USD,
2024-03-03,Textiles,5407,Japan,3672,3063,3395,133239.9,492987646.82,134255.9,152586.95,0.1,USD,
2024-05-24,Machinery,8481,Germany,3257,9748,9817,156379.21,578603064.11,177649.08,182278.91,0.15,USD,
2025-03-10,Electronics,8542,Kenya,2544,84,122,372000.51,1376401877.77,541038.47,558004.56,0.15,USD,
2022-05-31,Machinery,8481,Germany,3082,551,1018,457542.19,1692906120.61,549288.16,504210.19,0.15,USD,
2022-11-08,Food Products,0403,South Africa,897,6829,7169,265475.86,982260671.08,1095050.92,1259630.6,0.05,USD,
2023-10-13,Textiles,5407,Germany,47,773,934,455747.18,1686264567.45,35877969.52,40851882.28,0.05,USD,
2024-09-22,Food Products,1701,USA,4273,1273,1687,88859.06,328778531.83,76943.26,63842.82,0.05,USD,1.0
2023-10-18,Electronics,8523,Germany,2773,2349,2449,303455.95,1122787002.21,404899.75,437837.89,0.15,USD,
2024-12-15,Food Products,0403,USA,895,5725,6195,257213.27,951689091.45,1063339.77,1178156.71,0.1,USD,
2023-05-04,Textiles,5408,India,3831,4190,4431,484961.34,1794356943.61,468378.22,400548.65,0.1,USD,
2022-10-10,Electronics,8517,Kenya,4477,2846,3181,202885.14,750675031.6,167673.67,188108.2,0.1,USD,
2025-01-21,Electronics,8517,India,233,4225,4304,493189.02,1824799389.24,7831757.04,9295531.8,0.15,USD,
2022-08-24,Textiles,6110,USA,4138,708,955,74337.12,275047338.78,66468.67,65453.9,0.1,USD,
2023-10-23,Machinery,8430,Kenya,2859,9521,9889,217174.21,803544584.37,281057.92,320781.21,0.2,USD,
2024-02-19,Pharmaceuticals,3004,South Africa,1460,3444,3625,194197.21,718529679.03,492143.62,587998.7,0.05,USD,
2023-09-24,Food Products,1701,India,1968,577,918,102624.36,379710142.58,192942.15,192661.84,0.05,USD,
2022-05-25,Machinery,8479,Kenya,2507,3427,3472,17915.28,66286530.53,26440.58,28639.37,0.2,USD,
2024-11-07,Food Products,1701,South Korea,551,7491,7837,474280.76,1754838828.77,3184825.46,2710373.23,0.05,USD,
2024-04-11,Textiles,5407,China,4697,3476,3563,112204.86,415157986.78,88387.9,91889.18,0.1,USD,
2024-11-27,Textiles,6110,India,221,5408,5760,490488.33,1814806817.39,8211795.55,9010639.93,0.1,USD,
2023-12-12,Machinery,8481,India,2866,2375,2486,365276.16,1351521806.48,471570.76,511845.34,0.15,USD,
2024-03-05,Pharmaceuticals,3004,South Africa,4918,2567,3048,22997.27,85089908.15,17301.73,20113.95,0.05,USD,
2024-11-04,Machinery,8479,China,563,1336,1808,469264.77,1736279659.63,3083978.08,3646366.41,0.2,USD,
2024-02-27,Machinery,8481,Kenya,2222,4552,4800,412384.08,1525821091.44,686688.16,583876.64,0.2,USD,
2023-11-21,Machinery,8430,China,284,7309,7509,99035.77,366432365.35,1290254.81,1437321.88,0.2,USD,
2024-11-08,Textiles,5407,Germany,912,7357,7590,108530.2,401561731.5,440308.92,449386.11,0.1,USD,
2023-08-24,Food Products,0403,Germany,4337,7569,7794,474974.68,1757406305.13,405212.43,424707.0,0.1,USD,
2024-04-27,Pharmaceuticals,2937,USA,3014,7229,7687,109517.1,405213253.32,134443.68,145145.71,0.15,USD,
2022-10-19,Textiles,6110,USA,1775,7941,8190,489553.74,1811348852.62,1020478.23,1087720.27,0.1,USD,
2023-06-25,Pharmaceuticals,2937,India,4269,4496,4886,300509.96,1111886858.62,260456.05,265052.72,0.15,USD,
2024-04-26,Pharmaceuticals,2937,India,4432,2591,2757,269085.43,995616080.8,224642.62,259388.09,0.05,USD,
2023-11-23,Textiles,5407,USA,113,9165,9471,88398.75,327075383.74,2894472.42,3254331.2,0.1,USD,
2022-10-16,Pharmaceuticals,2937,USA,129,58,551,160150.52,592556914.63,4593464.45,4319324.41,0.15,USD,
2023-12-06,Electronics,8523,USA,2343,6049,6275,238840.79,883710907.0,377170.68,331546.57,0.1,USD,
2022-09-23,Pharmaceuticals,2941,India,4111,6467,6919,147945.52,547398421.75,133154.57,125557.61,0.05,USD,
2022-06-11,Electronics,8523,China,2705,1119,1206,248308.45,918741281.93,339645.58,305616.66,0.15,USD,
2025-03-17,Machinery,8430,China,2448,7119,7326,255879.6,946754513.11,386746.12,458065.8,0.2,USD,
2023-02-12,Machinery,8481,South Korea,1233,4574,4680,383913.3,1420479209.74,1152051.26,922203.74,0.2,USD,1.0
2023-10-01,Machinery,8430,USA,1907,2465,2792,184564.44,682888416.58,358095.66,375999.38,0.2,USD,
2024-07-26,Electronics,8517,Germany,4445,5810,5865,286342.91,1059468759.09,238350.68,226237.23,0.1,USD,
2023-08-27,Textiles,6110,South Africa,3030,2192,2585,117019.72,432972978.24,142895.37,134948.21,0.1,USD,
2023-07-18,Pharmaceuticals,2941,Germany,859,5616,6036,347149.32,1284452479.21,1495288.1,1496143.69,0.15,USD,
2023-10-06,Textiles,6110,South Korea,1436,648,798,290433.09,1074602420.45,748330.38,783898.9,0.05,USD,
2023-11-08,Pharmaceuticals,2937,China,3279,5025,5448,370997.95,1372692432.45,418631.42,414021.26,0.05,USD,
2022-10-02,Pharmaceuticals,2937,India,1587,634,817,296419.57,1096752424.64,691085.33,816223.35,0.05,USD,
2024-09-27,Textiles,5407,India,1860,5443,5493,93757.57,346903009.76,186506.99,199959.0,0.1,USD,
2025-03-02,Textiles,5408,China,3196,899,1239,333473.63,1233852444.61,386061.47,425975.02,0.05,USD,
2024-09-28,Pharmaceuticals,3004,India,1357,6975,7462,276090.02,1021533088.93,752787.83,678167.61,0.15,USD,
2022-10-28,Food Products,1701,Japan,2394,7965,8121,488739.52,1808336207.57,755361.82,667093.49,0.1,USD,
2025-01-10,Pharmaceuticals,2937,South Africa,37,9180,9328,241210.29,892478084.45,24121029.31,23094789.2,0.05,USD,
2023-10-31,Food Products,0702,Germany,699,1924,2163,399649.27,1478702309.89,2115453.95,2334401.75,0.1,USD,
2024-06-12,Pharmaceuticals,2937,South Korea,1159,1977,2471,139134.96,514799343.37,444175.45,487190.54,0.15,USD,
2024-10-02,Machinery,8479,South Korea,323,4590,4608,20313.14,75158602.58,232689.17,217993.62,0.2,USD,
2022-12-10,Food Products,0702,South Africa,415,4648,4705,252726.21,935086987.42,2253221.66,2552182.5,0.05,USD,
2024-02-06,Food Products,0403,India,76,4321,4808,342077.74,1265687633.98,16653784.66,16335967.04,0.1,USD,
2025-02-07,Pharmaceuticals,3004,India,3698,4743,4950,7939.39,29375754.38,7943.69,7386.93,0.15,USD,
2024-03-01,Pharmaceuticals,2937,Kenya,4372,1804,2061,196607.03,727446018.05,166387.47,179410.0,0.15,USD,
2024-04-24,Pharmaceuticals,2941,Japan,3472,8227,8618,315676.94,1168004660.88,336406.87,333109.71,0.15,USD,
2022-05-05,Electronics,8542,South Africa,1084,6452,6666,44784.7,165703377.03,152862.89,148064.44,0.1,USD,
2024-04-27,Pharmaceuticals,2941,Kenya,2628,8764,8995,325077.03,1202785011.32,457680.75,423266.0,0.05,USD,
2023-05-21,Textiles,5407,Germany,777,8400,8873,119320.97,441487589.78,568195.1,597955.69,0.05,USD,
2024-09-25,Textiles,5407,South Africa,716,4291,4368,150995.4,558682979.19,780283.49,700468.83,0.1,USD,
2025-01-19,Textiles,5408,Germany,2570,2245,2590,10673.82,39493118.69,15366.97,18237.07,0.05,USD,
2022-12-08,Food Products,0403,USA,3677,5629,5824,234040.55,865950039.16,235504.5,236086.43,0.05,USD,
2022-06-11,Electronics,8517,South Africa,1068,7839,8242,279490.36,1034114324.53,968271.84,814568.85,0.1,USD,
2022-06-18,Electronics,8523,South Korea,494,2138,2607,70447.31,260655049.56,527641.8,600662.17,0.15,USD,
2025-01-05,Pharmaceuticals,2941,South Korea,2865,2951,3213,213794.6,791040025.52,276104.72,269958.35,0.15,USD,
2022-09-16,Food Products,1701,Kenya,3629,9373,9832,8453.61,31278354.68,8619.0,9237.78,0.05,USD,
2023-07-19,Electronics,8523,Japan,1915,7593,7752,291530.26,1078661965.13,563269.96,620104.78,0.1,USD,
2022-06-07,Machinery,8479,South Korea,322,5376,5476,173757.09,642901241.38,1996587.71,2365891.41,0.2,USD,
2023-02-20,Pharmaceuticals,2937,South Africa,3012,6722,6736,6119.09,22640643.59,7516.81,7014.64,0.05,USD,
2023-04-01,Textiles,5408,USA,2956,1659,1679,361399.33,1337177508.6,452360.46,452817.32,0.05,USD,
2023-08-09,Pharmaceuticals,2941,Germany,3917,1332,1795,117742.44,435647036.72,111219.57,97899.09,0.05,USD,
2024-09-20,Textiles,6110,Japan,1676,3219,3702,136048.13,503378064.68,300344.91,246825.76,0.1,USD,1.0
2024-03-01,Pharmaceuticals,2937,South Africa,4164,1443,1769,361267.54,1336689893.36,321011.02,357252.05,0.15,USD,
2023-03-08,Machinery,8481,Kenya,3055,2558,3056,145156.43,537078774.69,175803.2,206683.98,0.15,USD,
2024-06-07,Pharmaceuticals,2937,South Africa,4005,2628,2749,40014.93,148055244.45,36967.6,36216.54,0.15,USD,
2022-09-27,Textiles,5408,India,633,4285,4651,117602.23,435128240.61,687406.38,631842.68,0.05,USD,
2022-12-06,Food Products,0702,Germany,1387,4179,4249,266370.5,985570845.98,710577.39,644378.44,0.1,USD,
2023-01-11,Food Products,0403,South Africa,537,8474,8769,192149.98,710954924.4,1323938.41,1258921.11,0.05,USD,
2025-01-01,Pharmaceuticals,2937,Germany,3296,4283,4338,3880.45,14357673.07,4356.09,5106.51,0.15,USD,
2022-06-27,Pharmaceuticals,3004,Japan,1522,8489,8856,331843.58,1227821237.24,806715.66,816507.91,0.15,USD,
2024-05-24,Pharmaceuticals,3004,India,3832,8935,8984,25849.03,95641427.08,24958.62,27955.58,0.05,USD,
2024-09-18,Machinery,8479,China,4226,3140,3565,222746.08,824160496.67,195021.41,187444.69,0.2,USD,
2022-08-28,Machinery,8430,Kenya,3032,7917,8133,379981.64,1405932072.75,463697.91,545943.19,0.15,USD,
2022-08-31,Textiles,6110,China,4748,9339,9490,32653.54,120818088.98,25446.1,21543.19,0.05,USD,
2023-12-19,Pharmaceuticals,3004,Germany,2674,596,755,182763.27,676224106.25,252888.6,212965.25,0.05,USD,
2023-07-22,Electronics,8542,Germany,1480,6638,6669,24118.49,89238414.2,60296.23,57443.55,0.1,USD,
2023-03-22,Textiles,6110,India,1800,4582,4788,235929.65,872939720.15,484966.51,503401.68,0.1,USD,
2022-05-08,Food Products,0403,USA,535,6198,6301,171989.31,636360440.46,1189458.77,1304108.4,0.1,USD,
2024-10-10,Machinery,8481,Germany,4547,4297,4383,197198.36,729633932.05,160464.91,159431.87,0.2,USD,
2024-09-25,Machinery,8479,China,1638,7513,7961,286861.6,1061387916.0,647977.97,629663.69,0.15,USD,
2024-03-23,Electronics,8542,Germany,563,9260,9529,433417.79,1603645834.24,2848394.02,3170628.33,0.1,USD,
2023-11-11,Textiles,6110,Germany,3644,5268,5670,25209.18,93273957.89,25596.59,28152.71,0.1,USD,
2023-10-31,Pharmaceuticals,3004,Japan,1350,822,1195,298215.21,1103396273.59,817330.57,791547.75,0.05,USD,
2023-05-25,Food Products,0403,Kenya,4456,3236,3445,417296.21,1543995968.43,346498.2,356971.4,0.1,USD,
2024-08-10,Pharmaceuticals,2941,South Africa,3044,7245,7501,303030.65,1121213417.21,368335.55,294871.88,0.05,USD,1.0
2023-07-15,Textiles,5408,South Korea,390,8968,9272,313044.45,1158264448.37,2969908.84,3484768.71,0.1,USD,
2024-02-14,Pharmaceuticals,3004,India,1766,6697,6933,406325.85,1503405631.25,851305.57,832528.12,0.15,USD,
2023-05-31,Textiles,5407,Germany,4696,4865,4942,207410.93,767420431.98,163420.02,175960.57,0.1,USD,
2022-04-25,Pharmaceuticals,2941,South Africa,3672,6716,7108,458914.57,1697983921.08,462413.92,481637.83,0.15,USD,
2022-10-01,Pharmaceuticals,3004,India,437,7226,7626,110801.98,409967311.5,938140.3,856841.77,0.15,USD,
2023-05-28,Machinery,8430,USA,4391,7947,8151,278750.94,1031378481.73,234884.65,193787.99,0.2,USD,1.0
2022-09-16,Pharmaceuticals,3004,Japan,43,8971,9344,467424.72,1729471446.79,40220266.2,47172667.09,0.15,USD,
2023-08-23,Machinery,8430,Germany,823,4980,5237,164040.91,606951382.4,737486.49,747738.88,0.15,USD,
2024-05-09,Food Products,0702,USA,720,9845,10010,283873.3,1050331214.94,1458793.35,1192545.44,0.1,USD,1.0
2024-02-05,Electronics,8523,China,2443,2478,2665,171977.49,636316711.76,260465.29,269633.58,0.1,USD,
2024-02-26,Textiles,6110,South Korea,323,9892,9951,311229.78,1151550200.96,3565170.9,3491736.6,0.1,USD,
2023-04-07,Food Products,0702,Kenya,2348,7068,7258,126564.77,468289660.87,199441.93,217699.28,0.05,USD,
2025-02-03,Food Products,0403,South Africa,4536,1454,1831,73046.14,270270699.86,59583.49,49135.84,0.1,USD,1.0
2023-01-31,Pharmaceuticals,2941,Japan,1071,375,837,209039.67,773446776.69,722172.53,774254.66,0.05,USD,
2022-08-23,Machinery,8479,India,2108,8853,8973,460773.7,1704862705.91,808758.4,913326.95,0.2,USD,
2023-06-08,Food Products,0702,China,3508,6540,6557,141481.96,523483238.84,149225.55,135022.37,0.05,USD,
2022-10-17,Pharmaceuticals,2941,South Korea,1706,4737,4967,353470.26,1307839979.93,766611.95,790382.24,0.05,USD,
2025-04-05,Pharmaceuticals,2937,South Korea,2769,6611,6990,271491.32,1004517892.25,362772.8,355840.74,0.05,USD,
2022-11-27,Pharmaceuticals,2941,India,4958,5980,6188,19326.51,71508098.54,14422.77,16357.06,0.15,USD,
2024-09-25,Machinery,8479,Japan,3463,2654,3003,199605.86,738541678.45,213266.44,202731.56,0.15,USD,
2022-06-15,Electronics,8523,China,3314,4284,4370,403405.53,1492600454.35,450392.41,437946.21,0.1,USD,
2023-05-20,Machinery,8481,Kenya,4599,876,935,300928.62,1113435895.7,242103.91,275700.11,0.15,USD,
2024-04-25,Textiles,5408,USA,2407,6239,6491,169961.52,628857635.52,261262.0,265769.52,0.1,USD,
2024-03-04,Machinery,8430,South Korea,2002,5734,5868,315069.15,1165755855.12,582295.63,690009.65,0.15,USD,
2023-06-09,Textiles,5408,India,3911,7047,7255,467217.82,1728705927.19,442011.23,493916.79,0.1,USD,
2024-04-30,Food Products,1701,South Korea,4451,2725,2768,13251.74,49031450.89,11015.83,12159.89,0.1,USD,
2023-04-06,Pharmaceuticals,2937,China,619,444,656,125115.01,462925532.57,747860.31,710574.97,0.05,USD,
2022-04-20,Machinery,8430,China,603,4614,4981,206245.04,763106650.37,1265516.83,1155319.26,0.2,USD,
2025-03-06,Textiles,5408,USA,2025,1829,1850,255430.25,945091927.29,466712.06,467727.47,0.05,USD,
2022-04-24,Machinery,8481,Japan,2266,7779,7864,128520.72,475526665.19,209852.9,247934.34,0.2,USD,
2024-02-16,Food Products,1701,South Africa,2322,9278,9321,350680.45,1297517673.85,558793.14,550775.36,0.05,USD,
2023-01-19,Electronics,8523,Germany,3196,4471,4653,475325.01,1758702527.47,550282.39,545539.11,0.1,USD,
2024-11-26,Pharmaceuticals,3004,Japan,901,2974,3407,328688.0,1216145582.6,1349773.12,1450728.69,0.05,USD,
2024-01-28,Food Products,0702,Germany,3936,6347,6555,217833.62,805984394.92,204772.46,236553.6,0.1,USD,
2022-12-08,Food Products,0403,India,2806,9084,9470,170210.58,629779161.5,224440.19,261475.53,0.05,USD,
2025-02-07,Food Products,0403,South Korea,2755,1151,1448,34377.84,127198025.75,46169.88,51195.73,0.1,USD,
2023-10-17,Food Products,0702,China,2014,1753,2044,126008.82,466232636.35,231495.85,204267.14,0.1,USD,
2024-04-01,Electronics,8542,USA,4869,2500,2874,305914.56,1131883888.45,232467.42,233280.57,0.15,USD,
2022-07-02,Machinery,8479,Japan,615,7064,7526,194301.79,718916625.83,1168970.12,1292425.46,0.15,USD,
2024-07-29,Electronics,8542,South Africa,3102,2323,2435,337797.35,1249850190.0,402917.53,354855.6,0.1,USD,
2022-10-30,Food Products,1701,Japan,1815,5415,5738,355769.71,1316347929.89,725260.57,749658.15,0.05,USD,
2024-07-03,Electronics,8523,China,2038,9036,9345,84324.04,311998941.19,153090.75,177797.97,0.1,USD,
2024-08-05,Electronics,8517,Japan,2112,5028,5505,254554.15,941850350.14,445951.87,478715.68,0.1,USD,
2023-12-30,Textiles,6110,South Africa,551,6185,6237,183658.58,679536742.69,1233279.02,1275546.4,0.05,USD,
2024-06-22,Textiles,5407,Germany,378,6800,6936,12608.14,46650120.64,123413.02,120978.62,0.1,USD,
2023-05-06,Pharmaceuticals,2937,Germany,1525,8138,8404,289893.35,1072605404.14,703347.81,746304.03,0.05,USD,
2024-05-06,Machinery,8479,Kenya,531,3579,4028,182605.12,675638962.46,1272389.76,1132242.6,0.15,USD,
2022-08-29,Food Products,0403,Germany,4494,4906,5237,316399.42,1170677840.98,260497.96,271812.82,0.1,USD,
2024-07-01,Machinery,8479,China,669,9374,9634,240363.54,889345093.51,1329364.86,1148245.78,0.15,USD,
2023-01-14,Food Products,1701,Kenya,2896,5862,5991,135635.69,501852046.68,173291.45,144257.0,0.1,USD,1.0
2024-04-15,Food Products,0403,South Africa,4292,2176,2573,457833.37,1693983451.42,394683.94,450626.73,0.1,USD,
2023-11-26,Food Products,0702,Germany,1754,4825,4899,146355.89,541516790.94,308732.49,287257.61,0.1,USD,
2024-03-04,Food Products,0702,South Korea,905,6098,6518,285567.61,1056600167.59,1167514.0,1020178.12,0.05,USD,
2024-04-17,Pharmaceuticals,2941,South Africa,4381,3287,3546,328948.09,1217107951.3,277815.1,264452.05,0.05,USD,
2022-10-09,Machinery,8430,USA,228,4849,4917,58744.06,217353005.11,953302.65,846898.53,0.2,USD,
2022-07-20,Machinery,8430,Germany,94,4547,4835,230658.57,853436694.56,9079113.77,9742446.01,0.15,USD,
2022-11-01,Food Products,0702,South Africa,3906,5338,5437,277875.49,1028139327.32,263220.51,269897.38,0.05,USD,
2025-03-02,Textiles,5407,Kenya,3220,1825,2049,60033.26,222123047.96,68982.31,77631.6,0.05,USD,
2024-08-24,Electronics,8523,Japan,2142,1543,1570,46686.64,172740550.02,80644.51,71571.59,0.15,USD,
2025-01-26,Food Products,0403,South Africa,585,4042,4202,379834.92,1405389198.77,2402374.7,1947139.34,0.05,USD,1.0
2024-11-28,Machinery,8479,South Africa,382,7456,7672,204821.53,757839654.73,1983873.44,2262756.29,0.2,USD,
2024-05-14,Pharmaceuticals,2937,USA,2196,4027,4386,195452.48,723174189.55,329314.29,315526.97,0.05,USD,
2023-02-05,Pharmaceuticals,3004,China,1239,8651,8774,328011.83,1213643755.61,979534.91,788719.79,0.05,USD,1.0
2023-12-16,Food Products,0403,South Africa,1436,5891,6157,127933.65,473354498.14,329634.05,305919.38,0.05,USD,
2024-04-10,Electronics,8523,South Korea,4240,3365,3673,209460.69,775004565.11,182784.1,204891.0,0.15,USD,
